A,B,CW,DQ,DR,DR51,DR52,DR53,TOTfreq
A3,B44,CW2,DQ5,DR16,DR51,NULL,NULL,0.000110365
A3,B44,CW2,DQ7,DR11,NULL,DR52,NULL,6.01993e-05
A3,B44,CW4,DQ2,DR7,NULL,NULL,DR53,0.000632092
A3,B44,CW5,DQ2,DR17,NULL,DR52,NULL,3.00996e-05
A3,B44,CW5,DQ2,DR7,NULL,NULL,DR53,0.000220731
A3,B44,CW5,DQ5,DR1,NULL,NULL,NULL,0.000140465
A3,B44,CW5,DQ5,DR103,NULL,NULL,NULL,8.02657e-05
A3,B44,CW5,DQ6,DR13,NULL,DR52,NULL,0.001023387
A3,B44,CW5,DQ6,DR15,DR51,NULL,NULL,0.000321063
A3,B44,CW5,DQ7,DR11,NULL,DR52,NULL,0.00025083
A3,B44,CW5,DQ7,DR12,NULL,DR52,NULL,8.02657e-05
A3,B44,CW5,DQ7,DR4,NULL,NULL,DR53,0.001555148
A3,B44,CW5,DQ8,DR4,NULL,NULL,DR53,0.000110365
A3,B44,CW7,DQ2,DR17,NULL,DR52,NULL,6.01993e-05
A3,B44,CW7,DQ4,DR8,NULL,NULL,DR53,6.01993e-05
A3,B44,CW7,DQ5,DR16,DR51,NULL,NULL,0.00028093
A3,B44,CW7,DQ6,DR13,NULL,DR52,NULL,8.02657e-05
A3,B44,CW7,DQ6,DR15,DR51,NULL,NULL,8.02657e-05
A3,B44,CW7,DQ7,DR11,NULL,DR52,NULL,0.000682258
A3,B44,CW7,DQ7,DR12,NULL,DR52,NULL,6.01993e-05
A3,B44,CW7,DQ7,DR13,NULL,DR52,NULL,6.01993e-05
A3,B44,CW7,DQ7,DR4,NULL,NULL,DR53,0.000130432
A3,B44,CW7,DQ8,DR4,NULL,NULL,DR53,5.0166e-05
A3,B44,CW7,DQ9,DR7,NULL,NULL,DR53,0.000130432
A3,B44,CW9,DQ7,DR12,NULL,DR52,NULL,6.01993e-05
A3,B45,CW16,DQ5,DR11,NULL,DR52,NULL,6.01993e-05
A3,B45,CW6,DQ7,DR4,NULL,NULL,DR53,0.000110365
A3,B47,CW12,DQ8,DR4,NULL,NULL,DR53,6.01993e-05
A3,B47,CW6,DQ2,DR17,NULL,DR52,NULL,0.000120399
A3,B47,CW6,DQ2,DR7,NULL,NULL,DR53,0.000882923
A3,B47,CW6,DQ5,DR14,NULL,DR52,NULL,6.01993e-05
A3,B47,CW6,DQ6,DR13,NULL,DR52,NULL,0.000290963
A3,B47,CW6,DQ8,DR4,NULL,NULL,DR53,0.000511694
A3,B49,CW2,DQ5,DR1,NULL,NULL,NULL,6.01993e-05
A3,B49,CW7,DQ5,DR14,NULL,DR52,NULL,6.01993e-05
A3,B49,CW7,DQ6,DR13,NULL,DR52,NULL,0.000431428
A3,B49,CW7,DQ7,DR103,NULL,NULL,NULL,6.01993e-05
A3,B49,CW7,DQ7,DR11,NULL,DR52,NULL,0.000190631
A3,B49,CW7,DQ7,DR4,NULL,NULL,DR53,7.02325e-05
A3,B49,CW7,DQ8,DR4,NULL,NULL,DR53,9.02989e-05
A3,B50,CW6,DQ2,DR7,NULL,NULL,DR53,0.000180598
A3,B50,CW6,DQ4,DR4,NULL,NULL,DR53,0.000130432
A3,B50,CW6,DQ6,DR13,NULL,DR52,NULL,6.01993e-05
A3,B51,CW1,DQ2,DR7,NULL,NULL,DR53,0.000180598
A3,B51,CW1,DQ5,DR1,NULL,NULL,NULL,0.00084279
A3,B51,CW1,DQ6,DR13,NULL,DR52,NULL,0.000100332
A3,B51,CW1,DQ7,DR11,NULL,DR52,NULL,0.000230764
A3,B51,CW14,DQ4,DR8,NULL,NULL,DR53,0.000170565
A3,B51,CW14,DQ6,DR13,NULL,DR52,NULL,0.000190631
A3,B51,CW14,DQ7,DR11,NULL,DR52,NULL,0.000150498
A3,B51,CW14,DQ7,DR12,NULL,DR52,NULL,6.01993e-05
A3,B51,CW14,DQ9,DR9,NULL,NULL,DR53,6.01993e-05
A3,B51,CW15,DQ2,DR17,NULL,DR52,NULL,6.01993e-05
A3,B51,CW15,DQ5,DR1,NULL,NULL,NULL,0.000541793
A3,B51,CW15,DQ5,DR16,DR51,NULL,NULL,6.01993e-05
A3,B51,CW15,DQ6,DR13,NULL,DR52,NULL,0.000160531
A3,B51,CW15,DQ6,DR15,DR51,NULL,NULL,6.01993e-05
A3,B51,CW15,DQ7,DR11,NULL,DR52,NULL,0.000230764
A3,B51,CW15,DQ7,DR4,NULL,NULL,DR53,0.00025083
A3,B51,CW15,DQ8,DR4,NULL,NULL,DR53,0.000351162
A3,B51,CW16,DQ2,DR7,NULL,NULL,DR53,0.000190631
A3,B51,CW16,DQ4,DR8,NULL,NULL,DR53,6.01993e-05
A3,B51,CW16,DQ5,DR14,NULL,DR52,NULL,6.01993e-05
A3,B51,CW16,DQ7,DR11,NULL,DR52,NULL,6.01993e-05
A3,B51,CW2,DQ2,DR7,NULL,NULL,DR53,6.01993e-05
A3,B51,CW2,DQ5,DR1,NULL,NULL,NULL,0.000331096
A3,B51,CW2,DQ5,DR16,DR51,NULL,NULL,6.01993e-05
A3,B51,CW2,DQ7,DR11,NULL,DR52,NULL,9.02989e-05
A3,B51,CW2,DQ8,DR4,NULL,NULL,DR53,6.01993e-05
A3,B51,CW4,DQ2,DR17,NULL,DR52,NULL,7.02325e-05
A3,B51,CW4,DQ6,DR13,NULL,DR52,NULL,6.01993e-05
A3,B51,CW4,DQ7,DR4,NULL,NULL,DR53,6.01993e-05
A3,B51,CW6,DQ8,DR11,NULL,DR52,NULL,6.01993e-05
A3,B51,CW7,DQ5,DR14,NULL,DR52,NULL,6.01993e-05
A3,B51,CW7,DQ6,DR15,DR51,NULL,NULL,7.02325e-05
A3,B51,CW7,DQ8,DR4,NULL,NULL,DR53,0.000130432
A3,B51,CW9,DQ2,DR7,NULL,NULL,DR53,6.01993e-05
A3,B5102,CW15,DQ5,DR16,DR51,NULL,NULL,6.01993e-05
A3,B52,CW12,DQ6,DR13,NULL,DR52,NULL,0.000130432
A3,B52,CW12,DQ6,DR15,DR51,NULL,NULL,0.000381262
A3,B53,CW6,DQ6,DR13,NULL,DR52,NULL,6.01993e-05
A3,B55,CW1,DQ7,DR11,NULL,DR52,NULL,6.01993e-05
A3,B55,CW1,DQ9,DR9,NULL,NULL,DR53,0.000190631
A3,B55,CW10,DQ7,DR11,NULL,DR52,NULL,6.01993e-05
A3,B55,CW9,DQ2,DR7,NULL,NULL,DR53,4.01328e-05
A3,B55,CW9,DQ5,DR1,NULL,NULL,NULL,6.01993e-05
A3,B55,CW9,DQ5,DR14,NULL,DR52,NULL,9.02989e-05
A3,B55,CW9,DQ6,DR13,NULL,DR52,NULL,0.000170565
A3,B55,CW9,DQ6,DR15,DR51,NULL,NULL,1.00332e-05
A3,B55,CW9,DQ7,DR11,NULL,DR52,NULL,7.02325e-05
A3,B55,CW9,DQ7,DR4,NULL,NULL,DR53,0.000120399
A3,B56,CW1,DQ5,DR1,NULL,NULL,NULL,0.000160531
A3,B56,CW1,DQ7,DR4,NULL,NULL,DR53,6.01993e-05
A3,B56,CW1,DQ8,DR4,NULL,NULL,DR53,0.000130432
A3,B56,CW7,DQ5,DR1,NULL,NULL,NULL,0.00025083
